rank,scenario_type,tag_count
1,stationary,2810908
2,on_pickup_dropoff,1367207
3,near_pedestrian_on_crosswalk,1230543
4,on_intersection,1077461
5,on_traffic_light_intersection,822577
6,traversing_intersection,735035
7,high_magnitude_speed,699204
8,traversing_traffic_light_intersection,680004
9,stationary_in_traffic,650181
10,traversing_pickup_dropoff,627566
11,medium_magnitude_speed,554589
12,near_pedestrian_at_pickup_dropoff,310748
13,low_magnitude_speed,142697
14,near_long_vehicle,129174
15,traversing_crosswalk,102091
16,on_stopline_traffic_light,93731
17,near_trafficcone_on_driveable,72123
18,near_multiple_vehicles,52446
19,near_high_speed_vehicle,52008
20,stationary_at_traffic_light_with_lead,43441
21,stationary_at_traffic_light_without_lead,40918
22,near_construction_zone_sign,39334
23,on_all_way_stop_intersection,36971
24,following_lane_with_slow_lead,33772
25,on_stopline_stop_sign,27534
26,on_stopline_crosswalk,27407
27,following_lane_without_lead,11609
28,high_lateral_acceleration,11528
29,behind_long_vehicle,10892
30,on_carpark,9181
31,near_multiple_pedestrians,7941
32,near_pedestrian_on_crosswalk_with_ego,7047
33,starting_right_turn,6987
34,starting_protected_noncross_turn,6418
35,starting_left_turn,5935
36,waiting_for_pedestrian_to_cross,5747
37,near_barrier_on_driveable,4722
38,starting_straight_traffic_light_intersection_traversal,4564
39,starting_unprotected_cross_turn,4377
40,accelerating_at_traffic_light,3472
41,stationary_at_crosswalk,3293
42,accelerating_at_traffic_light_without_lead,2816
43,starting_straight_stop_sign_intersection_traversal,2558
44,stopping_at_crosswalk,2300
45,following_lane_with_lead,2137
46,stopping_with_lead,2123
47,starting_protected_cross_turn,1558
48,starting_high_speed_turn,1385
49,starting_low_speed_turn,1201
50,behind_bike,681
51,stopping_at_stop_sign_without_lead,627
52,starting_unprotected_noncross_turn,569
53,accelerating_at_crosswalk,541
54,accelerating_at_traffic_light_with_lead,460
55,changing_lane,240
56,accelerating_at_stop_sign,236
57,stopping_at_stop_sign_with_lead,175
58,stopping_at_traffic_light_with_lead,175
59,behind_pedestrian_on_driveable,161
60,stopping_at_traffic_light_without_lead,159
61,changing_lane_to_right,127
62,changing_lane_to_left,113
63,behind_pedestrian_on_pickup_dropoff,110
64,crossed_by_vehicle,84
65,high_magnitude_jerk,36
66,near_multiple_bikes,32
67,traversing_narrow_lane,21
68,crossed_by_bike,14
69,changing_lane_with_trail,3
70,changing_lane_with_lead,1
